area-number,character-area,date,weather,topography,topography-text,layout,layout-text,spaces,spaces-text,greenery,greenery-text,wildlife,wildlife-text,roads,roads-text,landmarks,landmarks-text,views-out-text,views-in-text,buildings,buildings-text,roofs,roofs-text,materials,materials-text,details,details-text,positive-text,negative-text
68,SOUTH OF DUNSTER ROAD INCLUDING PROPERTIES ON SOUTH SIDE OF DUNSTER ROAD,02/02/2014,wet,flat,THERE IS A SLIGHT INCLINE TO SOME STREETS,linear regular buildings-well-set-back front-gardens back-gardens long-plots wide-plots no-obvious-centre,,gaps-between-buildings,,trees bushes hedges green-backcloth-to-buildings,,area-used-for-wildlife-to-pass-through,PROBABLY JUST WILD BIRDS,pavements kerbs narrow-roads curving-roads through-roads on-plot-parking on-street-parking,DUNSTER ROAD IS A THROUGH ROAD FROM PARK ROAD TO CORONATION AVENUE,,NO KEY LAND MARKS,SOME VIEWS OUT TO THE SOUTH ACROSS COUNTRYSIDE BUT THIS IS CURRENTLY BEING TURNED INTO A HOUSING ESTATE BY TAYLOR WIMPEY.,VIEWS IN ONLY FROM OTHER ESTATE ROADS,wide-frontages semi-detached 2-storeys varied-shapes,,pitched-roofs varied-pitch,,some-common brick render tile walls hedges fences tarmac,,,,"CLOSE PROXIMITY TO FACILITIES SCHOOLS, CHURCHES, ALLOTMENTS AND COUNTRYSIDE.",NEARBY DEVELOPMENT ON THE GREEN BELT
42,GREEN BELT EAST OF CHARLTON RD TO THE SOUTH TO WELLFIELD HOUSE AND TO THE EAST OF THE TRACK THAT LEADS TO CHEWTON ROAD,12/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SOUTH OF BRISTOL ROAD INCLUDING THE REDWOODS & THE CROWN PUBLIC HOUSE,27/11/2013,seasonal but dry,,"THE ROAD RUNS EAST TO WEST WITH AN INCLINE FROM KEYNSHAM CENTRE TO THE WEST, OLDER HOUSE (1 - 3 & 65 - 71) HAVE LARGE FRONT GARDENS & REAR GARDENS WITH STEEP NORTH TO SOUTH INCLINE UP TO BROADLANDS SCHOOL, NEWER HOUSES HAVE SMALLER PLOTS CUT INTO THE HILLSIDE WITH SMALL GARDENS. THERE IS A ROADSIDE PUBLIC HOUSE WITH OFF STREET PARKING AND A LARGE REAR GARDEN",buildings-close-to-the-road buildings-well-set-back front-gardens back-gardens long-plots short-plots,LINEAR. THERE IS A DANGEROUS ROUNDABOUT ADJACENT TO NUMBER 55,gaps-between-buildings green-spaces hard-space,"RESIDENTIAL AND PUBLIC HOUSE, CLOSE TO A MAIN ROAD BUT VERDANT",trees bushes hedges green-backcloth-to-buildings,"WESTERLY HOUSES ARE ON LARGE PLOTS WITH PLENTY OF TREES/SHRUBS, EASTERLY HOUSES ARE SMALL WITH LITTLE GREENERY TO THE FRONT AND SMALL REAR PLOTS. THE PUBLIC HOUSE IS CLOSE TO THE ROADSIDE WITH A LARGE, REAR, CHILD FRIENDLY GARDEN",area-used/inhabited-by-wildlife,"DEERS, BADGERS, FOXES, MANY BIRDS INCLUDING OWLS, AN IMPORTANT BAT COLONY",pavements kerbs wide-roads wide-roads-wide straight-roads through-roads on-plot-parking,"PAVEMENT RUNNING EAST TO WEST, MAIN A4 ROAD",community-landmarks,LISTED BUILDINGS - THE ALMS HOUSES SEE CHARACTER ASSESSMENT 6 - NORTH OF BRISTOL ROAD. THERE ARE VERY UGLY POSTS AND WIRES THAT SPOIL THE VIEW,EXTENSIVE VIEWS TO THE NORTH ACROSS OPEN FIELDS AND SPORTS FACILITIES TO THE DISTANT ROAD AND WOODLAND,THE FOOTBRIDGE OFFERS VIEWS INTO THE AREA FROM THE FIELDS,,"THERE IS A MIXTURE OF TERRACED, NARROW FRONTED HOUSING & LARGE SEMI DETACHED HOUSING WITH RELATIVELY WIDE FRONTAGES. THE PUBLIC HOUSE IS REPUTEDLY AN OLD COACHING INN AND HAS A WIDE FRONTAGE.",flat-roofs pitched-roofs,FLAT ROOFS ON MORE MODERN HOUSING. PITCHED ROOFS ON OLDER HOUSING. ROOFS ARE CLAY TILE & SLATE,brick stone render tile slate walls fences tarmac,THE RIDGE TILES ON THE LARGER HOUSES ARE ORNATE,letter-boxes,"PORCHES, THE WINDOWS ON THE PUBLIC HOUSE LEND CHARACTER, THE HOUSING STOCK ARE VARIOUS FROM MODERN TO LARGE CHARACTER EDWARDIAN","LARGE VICTORIAN & MOCK VICTORIAN HOUSES WITH LARGE PLANTED FRONTAGES, THE PUBLIC HOUSE LENDS SOME CHARACTER & HISTORICAL SIGNIFICANCE TO THE ROUTE - (SEE CHARACTER ASSESSMENT AREA 6)",HEAVY TRAFFIC PARTICULARLY DURING RUSH HOURS BUT THE ROAD HAS CONSTANT USAGE. THE NEWER HOMES DO NOT FIT THE CHARACTER OF THE AREA (SEE CHARACTER ASSESSMENT AREA 6)
52,SOUTH OF HANDEL ROAD AND EAST OF CHARLTON PARK ROAD INCLUDING COURTLAND'S BUT EXCLUDING ST. JOHN'S PRIMARY SCHOOL,03/01/2014,dull,flat hilly,THERE IS A SLIGHT INCLINE ON SOME OF THE ROADS,grid-like regular buildings-well-set-back front-gardens back-gardens long-plots thin-plots clear-centre,"THERE IS A CLEAR CENTRE TO THE SITE, AS HOUSING IS BUILT AROUND THE CENTRALLY BASED ST. JOHN'S PRIMARY SCHOOL (SITE ASSESSMENT 53)",gaps-between-buildings green-spaces,THERE IS AN EXPANSE OF GREEN SPACE JUST SOUTH OF COURTLAND'S WHICH IS MARKED 'PRIVATE KEEP OFF',trees bushes hedges green-backcloth-to-buildings,,area-used/inhabited-by-wildlife,"THE GREEN SPACE AND TREES WITHIN THE SITE ENCOURAGE WILDLIFE, MAINLY WILD BIRDS",pavements kerbs grass-verges wide-roads straight-roads cul-de-sacs on-plot-parking on-street-parking,COURTLAND'S IS A NO THROUGH ROAD WITH TWO BRANCH LIKE CUL-DE-SACS,,NO KEY LANDMARKS,LIMITED VIEWS OUT,ONLY VIEWS FROM ESTATE ROADS,wide-frontages narrow-frontages semi-detached 2-storeys varied-shapes,VARIED SHAPES DUE CONSTRUCTION OF HOUSING OVER DIFFERENT PERIODS OF TIME,pitched-roofs varied-pitch,,nothing-common brick stone render hung-tile walls hedges fences tarmac concrete,,,BAY FRONTED PROPERTIES N PARK ROAD. STONE WORK WITH BATH STONE COINS,PLEASANT AREA CLOSE TO LOCAL AMENITIES LOCAL PRIMARY SCHOOL AND SHOPS,NO REAL NEGATIVES
54,TOWN CENTRE CONSERVATION AREA EAST OF THE HIGH STREET AND TEMPLE STREET NOT INCLUDING DAPPS HILL AREA OR KEYNSHAM MEMORIAL PARK,20/01/2014,cloudy,flat,,linear buildings-well-set-back no-obvious-centre,"PROPERTIES COMMERCIAL, RETAIL AND SOME RESIDENTIAL ABOVE",gaps-between-buildings,VERY FEW GAPS BETWEEN BUILDINGS - ALLEY WAY TO THE PARK AND ALLEYS WAYS TO REAR OF PROPERTIES,trees,A FEW TREES MAINLY IN CHURCH GROUNDS. ONLY AREAS OF GREENERY ARE IN FRONT OF BAPTIST CHURCH AND ST. JOHN'S CHURCH,,ONLY BIRDS - NOT AWARE OF ANY OTHER WILDLIFE UNLESS FREQUENTED AT NIGHT,pavements kerbs wide-roads wide-roads-wide straight-roads on-street-parking,ON STREET PARKING WITHIN A BAYED AREA NEAR COFFEE ONE,,ST. JOHN'S CHURCH TOWER,NO VIEWS OUT - ONLY FROM CHURCH TOWER,"VIEWS IN FROM THE CHURCH TOWER OR BATH & NORTH EAST SOMERSET COUNCILS OFFICE, TOP FLOORS.",wide-frontages narrow-frontages terraced semi-detached 1-storey 2-storeys varied-shapes,"FROM THE PHOTOS YOU WILL SEE THE VARIOUS DESIGNS OF BUILDINGS, A RESULT OF DEMOLITION AND RECONSTRUCTION OVER THE AGES. MANY CONSTRUCTION PROJECTS TAKING PLACE IN THE 1960'S AND 1970'S OLD VICTORIAN PROPERTIES DEMOLISHED. E.G. 1970 THE LAMB AND LARK HOTEL HIGH STREET",flat-roofs pitched-roofs varied-pitch,NUMEROUS ROOF STYLES AS CAN BE SEEN FROM THE PHOTOS.,nothing-common brick stone render tile walls tarmac concrete,,,OLD STONE WORK IN LISTED BUILDINGS.,"BUSY TOWN CENTRE WITH VERY FEW EMPTY SHOPS, EXCELLENT COMMUTING LINKS AND PUBLIC TRANSPORT SERVICES TO BATH AND BRISTOL","THE DEMOLITION AND DESTRUCTION OF MANY OF THE TOWNS HISTORIC BUILDINGS. THE TOWN WAS ONCE A THRIVING MARKET TOWN THERE IS VERY LITTLE EVIDENCE OF THIS NOW APART FROM A SMALL FARMERS MARKET HELD ON THE SECOND SATURDAY OF EVERY MONTH, OLDER BUILDINGS ARE PROTECTED BY ENGLISH HERITAGE LISTING (SEE LISTED BUILDINGS LIST)"
38,"SOUTH OF CORONATION AVENUE INCLUDING PROPERTIES ON CORONATION AVENUE, NORFOLK GROVE, WALTON PLUS A FEW PROPERTIES ON CHARLTON ROAD, CEDAR DRIVE & DUNSTER DRIVE",29/01/2014,dull and cold,flat,SLIGHTLY SLOPING IN PLACES,grid-like regular buildings-well-set-back front-gardens back-gardens long-plots no-obvious-centre,SOME HOUSING SIDEWAYS ON TO THE MAIN ROADS (AS CAN BE SEEN IN THE PHOTOGRAPH BELOW),gaps-between-buildings green-spaces,"QUITE A FEW TERRACE BLOCK AND SOME SEMI DETACHED PROPERTIES. A FEW SPACES BETWEEN BUILDINGS, GREEN SPACES IN AREAS BETWEEN HOUSING THAT IS SIDE WAYS ON TO THE MAIN ROAD",trees bushes hedges green-backcloth-to-buildings,VERY FEW SMALL TREES ON WHOLE ESTATE,,MAINLY WILD BIRDS,pavements kerbs grass-verges straight-roads cul-de-sacs on-street-parking parking-courts,PARKING COURTS IN FRONT OF HOUSES IN NORFOLK GROVE AND WALTON CLOSE (AS CAN BE SEEN IN THE PHOTOGRAPH BELOW),,COMMUNITY NOTICE BOARD NEAR WALTON CLOSE - CURO HOUSING PROPERTIES,NO VIEWS OUT,VIEWS IN FROM MAIN ESTATE ROAD - CORONATION AVENUE,terraced semi-detached 2-storeys common-shapes,PREDOMINATELY TERRACED HOUSING IN THIS AREA,pitched-roofs shallow-pitch,,some-common brick render tile hedges tarmac,THE MAJORITY OF THE HOUSES ARE ALL BRICK OR HALF BRICK & HALF RENDERED,,THE MAJORITY OF PROPERTIES HAVE PORCHES OR FREE HUNG DOOR CANOPIES,"GREEN SPACE BETWEEN HOUSING IS PLEASING, NOT FAR FROM LOCAL AMENITIES, SCHOOLS AND LOCAL SUPERMARKET",SPEED OF TRAFFIC ON MAIN CORONATION AVENUE
65,"EAST OF PARK ROAD INCLUDING WINDSOR, BALMORAL ROAD, EDINBURGH ROAD, COMPTON GREEN, TAMWORTH AND ST. CLEMENT'S COURT PLUS ELIM CHURCH BUT NOT INCLUDING PARK ROAD PLAY GROUND",06/03/2014,dry,flat,SLIGHT UNDULATIONS ON SOME OF THE ROADS WITHIN THE ASSESSMENT AREA,grid-like irregular buildings-well-set-back front-gardens back-gardens long-plots thin-plots short-plots no-obvious-centre,,gaps-between-buildings green-spaces hard-space well-used,,trees bushes hedges green-backcloth-to-buildings,THERE ARE AREAS OF INTENSE GREENERY CLOSE BY.,area-used/inhabited-by-wildlife,LOTS OF WILDLIFE DUE TO NEARBY GREEN BELT,pavements kerbs grass-verges wide-roads narrow-roads straight-roads curving-roads cul-de-sacs on-plot-parking on-street-parking parking-courts,"CUL-DE-SACS INCLUDE:- CLEMENT COURT, TAMWORTH, CORFE CRESCENT, COMPTON GREEN AND THE END OF BALMORAL ROAD",,ELIM CHURCH,"FROM ST. CLEMENTS ROAD THERE ARE EXTENSIVE VIEWS OUT ACROSS THE GREEN BELT TOWARDS CHEWTON KEYNSHAM (SEE PHOTO BELOW), VIEW ACROSS TO THE KELSTON HILLS FROM THE TOP OF TAMWORTH (SEE PHOTO BELOW)","ONLY FROM OTHER ESTATES, VIEW INTO THE EDGE OF THE ESTATE FROM WELLSWAY LOOKING ACROSS THE VALLEY",terraced semi-detached 2-storeys varied-shapes,"THE MAJORITY OF THE PROPERTIES ARE TERRACED APART FROM THOSE ON ST. CLEMENTS ROAD AND TAMWORTH, THE ODD LARGER DETACHED PROPERTY",pitched-roofs varied-pitch,,some-common brick render tarmac concrete,,,CANOPY PORCHES ON SOME BUILDINGS WITH ATTACHED TRELLISING,"CLOSE TO AMENITIES AND OPEN COUNTRYSIDE, INCLUDES SMALL PLAYGROUND ON PARK ROAD (SEE ASSESSMENT 66)",NO REAL NEGATIVES
37,"WEST OF CAERNARVON ROAD INCLUDING PROPERTIES ON CAERNARVON ROAD & CHARLTON ROAD, LINCOLN CLOSE, HARLECH CLOSE AND CAERNARVON CLOSE",08/02/2014,wet,hilly,ON A SLOPED HILL LEADING OUT OF KEYNSHAM,irregular front-gardens back-gardens no-obvious-centre,"FLATS, HOUSES, MIXED COUNCIL, PRIVATE AND SOCIAL HOUSING. DIFFERENT SIZES OF GARDENS. SMALL GRASS AREAS",gaps-between-buildings hard-space,"HARD SPACES, ROADS, CAR PARKS FOR RESIDENTS. SMALL GRASSED COMMUNAL AREA",trees bushes hedges,"AREAS WITH SMALL GARDENS AND LIMITED GREENERY, SMALL GRASSED AREAS",area-used-for-wildlife-to-pass-through,PRIVATE GARDENS - WILDLIFE BIRDS,pavements kerbs cul-de-sacs through-roads on-street-parking parking-courts,"PARKING COURTS NEAR FLATS, ON STREET PARKING, CUL-DE-SACS INCLUDE HARLECH CLOSE, CAERNARVON CLOSE AND LINCOLN CLOSE",,NONE,NO SIGNIFICANT VIEW,NO SIGNIFICANT VIEW,wide-frontages terraced semi-detached 1-storey 3-storeys varied-shapes,"TERRACED HOUSING, A FEW SEMI DETACHED PROPERTIES FACING ON TO CAERNARVON ROAD, A LOT OF THREE STOREY HOUSING BLOCKS AND FLATS",pitched-roofs varied-pitch,VARIOUS PITCHES OF ROOFS,nothing-common brick stone render fences tarmac,RAILINGS AROUND A LOT OF THE SOCIAL HOUSING PROPERTIES,,MIXED DOMESTIC PROPERTIES,AFFORDABLE HOUSING. A POSITIVE PLACE TO LIVE,"ANTI SOCIAL BEHAVIOUR, VANDALISM TO CARS"
72,"LAND NORTH OF A4 BETWEEN AVON MILL LANE AND UNITY ROAD INCLUDING AVON CLOSE, TENNYSON CLOSE, CONSTABLE CLOSE, VANDYCK AVENUE AND CROXLEY HOUSE PLUS PROPERTIES ON UNITY ROAD",06/02/2014,dull/wet,flat,THE ESTATE SITS AT THE TOP OF A HILL REACHED VIA AVON MILL LANE,irregular buildings-well-set-back front-gardens back-gardens thin-plots no-obvious-centre,,gaps-between-buildings green-spaces well-used,"THE ESTATE HAS ITS OWN SMALL PLAYGROUND, THERE IS SOME HIGH MOUNDED SCREENING TO THE EAST AND SOUTH. TO THE EAST TO SCREEN THE ESTATE FROM NEARBY INDUSTRY AND IN THE SOUTH TO SCREEN THE ESTATE FROM THE BY PASS",trees bushes hedges,,area-used-for-wildlife-to-pass-through,WILD BIRDS,pavements kerbs narrow-roads cul-de-sacs on-plot-parking on-street-parking parking-courts,"THERE ARE VARIOUS CUL-DE-SACS OFF OF THE MAIN VANDYCK AVENUE. THESE INCLUDE:- AVON CLOSE, TENNYSON CLOSE AND CONSTABLE CLOSE",,NO LANDMARKS,NO VIEWS OUT,ONLY VIEWS IN FROM VANDYCK AVENUE,wide-frontages semi-detached 2-storeys varied-shapes,DIFFERENT STYLES OF HOUSES BUILT DURING DIFFERENT PERIODS,pitched-roofs varied-pitch,,some-common brick stone render hung-tile slate walls hedges fences tarmac concrete,ONE SINGLE PROPERTY IN STONE IS SUNNYMEADE NURSING HOME. THE EXTENSION TO THIS NURSING HOME IS RENDER. PROPERTIES ON TENNYSON CLOSE ARE OF A DIFFERENT STYLE TO THE NEW HOMES ON CONSTABLE CLOSE,,FREE HUNG PORCHES ARE ON THE PROPERTIES IN CONSTABLE CLOSE,SMALL QUIET ESTATE,THE ESTATE IS A BIT ISOLATED EDGED BY INDUSTRIAL BUILDINGS AND SEPARATED FROM ITS ORIGINAL ESTATE OF GASTON AVENUE AND OTHER CLOSES BY THE BY-PASS.
21,BRISTOL GREEN BELT 2 FROM LAYS FARM TO COMPTON DANDO PARISH BOUNDARY,25/01/2014,dry & bright,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"LAND EAST OF PIXASH LANE INCLUDING B&NES RECYCLING DEPOT, WORLDS END LANE, PROPERTIES LONGREACH AND DOWNFIELDS, THE PETROL FILLING STATION, BROADLEAZE NURSERY PLUS PROPERTIES ON BATH ROAD",16/02/2014,sunny but cold,flat,,irregular buildings-close-to-the-road buildings-well-set-back front-gardens back-gardens no-obvious-centre,MAINLY COMMERCIAL PROPERTIES A FEW ON RESIDENTIAL DWELLINGS ALONG WORLD'S END LANE,gaps-between-buildings green-spaces well-used,"COMMERCIAL ACTIVITIES - INCLUDING HORTICULTURAL NURSERY - BROADLEAZE & LOCAL AUTHORITY RECYCLING CENTRE, SMALL HOLDINGS, PASTURE LAND - HORSE STABLING",trees bushes hedges green-backcloth-to-buildings areas-of-intense-greenery,,area-used/inhabited-by-wildlife,SURROUNDING GREEN BELT LAND PROVIDES THE PERFECT HABITAT FOR NUMEROUS SPECIES OF WILD BIRDS AND ANIMALS,pavements kerbs grass-verges narrow-roads straight-roads on-plot-parking on-street-parking,WORLD'S END LANE IS NO THROUGH ROAD AND JUST LEADS TO A VERY NARROW DIRT TRACK,,NONE,VIEWS OUT ACROSS TO THE KELSTON HILLS,NO REAL VIEWS IN,detached 1-storey 2-storeys varied-shapes,"LARGE SINGLE STOREY COMMERCIAL BUILDINGS, OUT BUILDINGS & BARNS, STABLING, A FEW DETACHED PROPERTIES",flat-roofs pitched-roofs varied-pitch,,brick stone tile other walls hedges fences tarmac concrete,"SOME ROOFING IS PROFILED CORRUGATED IRON ON OUT BUILDINGS, RESIDENTIAL PROPERTIES ARE EITHER BRICK OR STONE BUILT",,,"PEACEFUL ON THE OUTSKIRTS OF THE SITE DUE TO PROXIMITY TO THE GREEN BELT, LOVELY VIEWS OF OPEN COUNTRYSIDE",SOME OF THE OUTBUILDINGS ARE VERY UNTIDY AND ARE IN NEED OF SOME REPAIR.
107,"NORTH OF COURTENAY ROAD INCLUDING WAYFORD CLOSE, MARTOCK CLOSE, HUTTON CLOSE, TILLEY CLOSE, RHODE CLOSE, BANWELL PLUS PROPERTIES ON LYTES CARY AND COURTENAY ROAD",13/02/2014,"cloudy windy, cold, light rain",shallow,,grid-like regular short-plots no-obvious-centre,,gaps-between-buildings green-spaces,SOME FOOTPATHS,trees bushes hedges,A COUPLE OF TINY AREAS OF GREENERY,,BIRDS IN GARDEN TREES,pavements kerbs grass-verges narrow-roads cul-de-sacs through-roads on-plot-parking on-street-parking,A FEW GRASS VERGES,,NONE,SOME PROPERTIES FACE THE MANOR ROAD COMMUNITY WOODLAND,FROM THE WOODLAND,semi-detached 1-storey 2-storeys varied-shapes,A FEW ONE STOREY PROPERTIES. ALL RELATIVELY MODERN,pitched-roofs shallow-pitch,,some-common brick stone tarmac paving-stones,,,BORING URBAN HOUSING,"PLEASANT, MODERN HOUSING, GENERALLY TIDY",BORING URBAN DEVELOPMENT 70'S/80'S
50,NORTH OF CORONATION AVENUE 2 - INCLUDING BERKELEY GARDENS AND STIRLING WAY. PLUS PROPERTIES ON CORONATION AVENUE AND A FEW PROPERTIES EAST OF WARWICK ROAD,,cloudy,flat,,regular buildings-well-set-back front-gardens back-gardens long-plots,THERE IS A CENTRE WHICH IS A GREEN SPACE OFF BERKLEY GARDENS,gaps-between-buildings green-spaces,"GAPS BETWEEN BLOCKS OF BUILDINGS, GREEN SPACE AT THE END OF BERKLEY GARDENS CUL-DE-SAC",trees bushes hedges,MOST AREAS HAVE A SMALL AMOUNT OF GREENERY,,MAINLY WILD BIRDS,pavements kerbs narrow-roads curving-roads cul-de-sacs on-plot-parking on-street-parking parking-courts,BERKLEY GARDENS FEED OFF CORONATION AVENUE AND HAVE SEVERAL CUL- DE-SACS WITHIN THIS ROAD SYSTEM,,NO KEY LANDMARKS,NO REAL VIEWS OUT,PROPERTIES IN BERKLEY GARDENS ARE QUITE SECLUDED - NO REAL VIEW INTO THE WHOLE AREA.,terraced semi-detached 2-storeys varied-shapes,"THE MAJORITY OF HOUSING IS TERRACED SOCIAL HOUSING AND EX COUNCIL HOUSING SOME NOW PRIVATELY OWNED, THERE ARE A FEW SEMI-DETACHED PROPERTIES THAT FRONT ON TO CORONATION AVENUE",pitched-roofs shallow-pitch,,some-common brick render hedges fences tarmac,SOME PROPERTIES ARE A COMBINATION OF BRICK AND RENDER. WOOD PANELING ON SOME. DIFFERENT ROOF COLOURS AND PAINTED RENDERS DUE TO PROPERTIES NOW BEING PRIVATELY OWNED.,,,"SOME SECLUDED AREAS WHICH MAKES THE AREA FAIRLY QUIET, SOCIAL CENTRE FOR THE ELDERLY IN STIRLING WAY",ON STREET PARKING CAUSES PROBLEMS AS SOME ROADS ARE NARROW
90,SOUTH OF LIMEKILNS CLOSE - PROPERTIES ON WELLSWAY,17/11/2013,overcast,shallow,SLOPES DOWN TO THE NORTH,buildings-close-to-the-road short-plots,,,THE ONLY GAP IS THE ENTRANCE TO THE CRICKET GROUND FROM THE B3116,trees hedges,,,,pavements narrow-roads on-plot-parking,,,"ELECTRIC SUBSTATION ON THE NORTHERN EDGE, THE CRICKET GROUND IS TO THE EAST",OCCASIONAL VIEWS TO THE WEST ACROSS TO THE RIVER CHEW BUT OFTEN VIEWS ARE BLOCKED BY HOUSING ON THE OTHER SIDE OF THE ROAD,SOME VISIBILITY FROM THE EAST WEST,detached 2-storeys varied-shapes,,pitched-roofs,,some-common render tarmac,,,VARIOUS DESIGNS OF 1930'S DETACHED HOUSES ALONG THE WELLSWAY,LARGER DWELLINGS WITH THE CRICKET GROUND OPEN SPACE TO THE REAR,LIMITED SIZED PLOTS ADJACENT TO THE NARROW PART OF THE BUSY WELLSWAY B3116
51,"NORTH OF DUNSTER ROAD INCLUDING AMBERLEY CLOSE, LULWORTH ROAD AND DUDLEY CLOSE PLUS PROPERTIES FACING ON TO PARK ROAD",04/02/2014,"dull, over cast and windy",flat,SOME OF THE ROADS HAVE A SLIGHT INCLINE,grid-like regular buildings-close-to-the-road buildings-well-set-back front-gardens back-gardens long-plots thin-plots no-obvious-centre,,gaps-between-buildings green-spaces,AN AERIAL IMAGE OF THE AREA SHOWS THE SITE TO HAVE SEVERAL GREEN SPACES,trees bushes hedges green-backcloth-to-buildings,,,QUITE A BUILT UP AREA BUT INCLUDES AREAS OF GREEN SPACE AND MATURE TREES THAT WOULD SUPPORT WILDLIFE ESPECIALLY BIRDS.,pavements kerbs grass-verges wide-roads wide-roads-wide straight-roads cul-de-sacs through-roads on-plot-parking on-street-parking parking-courts,"LULWORTH ROAD IS A THROUGH ROAD CONNECTING DUNSTER ROAD AND CORONATION AVENUE, AMBERLEY CLOSE AND DUDLEY CLOSE ARE BOTH CUL-DE-SACS",,THERE ARE NO KEY LANDMARKS,"THERE ARE VIEWS MAINLY OF OTHER PARTS OF THE ESTATE, FROM AMBERLEY CLOSE THE KELSTON HILLS CAN BE GLIMPSED BETWEEN BUILDINGS",THERE ARE VIEWS IN FROM OTHER ESTATE ROADS,wide-frontages terraced semi-detached 2-storeys 3-storeys varied-shapes,"THERE ARE TWO DETACHED PROPERTIES FACING ON TO DUNSTER ROAD, THE REST ARE EITHER TERRACED OR SEMI-DETACHED, THE SITE HAS HOUSES BUILT IN DIFFERENT ERAS HENCE THE VARIED SHAPES/STYLES",pitched-roofs steep-pitch varied-pitch,,nothing-common brick stone render hung-tile walls hedges fences tarmac concrete setts paving-stones,,,"NEWER PROPERTIES ON LULWORTH ROAD HAVE FREE HUNG PORCH COVERS, SOME OF THE THREE STOREY FLATS AND HOUSES IN AMBERLEY CLOSE HAVE BALCONIES","THE GARDENS TO MOST PROPERTIES ARE WELL MAINTAINED, THE NEWER PARTS OF THE SITE HAVE TREES LANDSCAPED INTO THE DESIGN.",SOME OF THE PROPERTIES TEND TO OVERLOOK EACH OTHER
39,"TREES ESTATE INCLUDING LONGMEADOW ROAD, HOLMOAK ROAD, CEDAR DRIVE, NEWLANDS ROAD, THE BRAMBLES, ACACIA COURT, WALNUT CLOSE, LILAC COURT PLUS WALK, WALNUT WALK, HORNBEAM WALK, LABURNUM WALK, MAY TREE WALK, OAK TREE WALK, HOLLY WALK, WILLOW WALK, MAPLE WALK AND ROWAN WALK PLUS THE GREEN SPACES PINE, ELM, FIRS & LIME",01/02/2014,dry,flat,,grid-like regular buildings-close-to-the-road no-obvious-centre,,green-spaces hard-space,,trees bushes hedges green-backcloth-to-buildings,,area-used-for-wildlife-to-pass-through,UNKNOWN BUT PROBABLY,pavements kerbs grass-verges narrow-roads curving-roads on-plot-parking on-street-parking parking-courts,,,THE CHARLTON - LONGMEADOW ROAD,,YES,terraced semi-detached 1-storey 2-storeys varied-shapes,,pitched-roofs steep-pitch shallow-pitch,,some-common stone walls hedges fences tarmac paving-stones,,porches,,TIGHT AREA WHERE IT IS POSSIBLE TO BE NEIGHBOURLY,OVER DEVELOPED - NOT ENOUGH SPACE
40,HOLMOAK PLAY AREA,15/11/2013,fine,flat,,linear,,green-spaces hard-space well-used,,green-backcloth-to-buildings,,area-used/inhabited-by-wildlife area-used-for-wildlife-to-pass-through,,,NOT APPLICABLE,,NOT APPLICABLE,NONE,VIEWS IN FROM CHARLTON ROAD,terraced semi-detached 2-storeys,HOUSING CLOSE BY TO PLAY AREA,pitched-roofs,,,HEDGES AROUND THREE OF THE BOUNDARIES,,NOT APPLICABLE,WELL USED FOR RECREATIONAL ACTIVITIES & DOG WALKING,FLOODING IN WET MONTHS (WATER LOGGING)
